,ceo
2,Bill
3,John Wallace
4,Joseph E. StiglitzUniversity
5,Henkel CEO Kasper
7,Lisa Von Ahn
8,Ignacio Gonzalez
9,Ben Bernankes
10,Rick
11,Franks
12,Blaise Robinson
13,Xi
14,Jerry Lampen
15,Uma Thurman
16,Angus Armstrong
17,Malcolm Reed
19,Philippe Dauman
20,Adam Smith's
21,Rabbi Marvin Hier
22,Schultz
23,Tao
24,David H. RomerHerman Royer
25,Andrew Jones
26,Charles Green
27,Dean Baker
28,Dan Fuss
29,John Jannarone
30,Bonnie Baha
31,Jamie McDonald/Getty
32,Elena Holodny Bill Ackman
33,Chip Somodevilla
34,Thomson ReutersEmployees
35,Brian L. Roberts
36,Nelson Bocanegra
38,K. Dick's
40,Joe
41,Bill Murphy
42,Diamondback
43,Kutcher
44,Paul Deneve
45,Michael Milken
46,Mark Swartz
47,Bloomberg TVSavita SubramanianThis
48,Peter Pope
49,Kopin Tan
50,Knut Wicksell
51,Isabella Gough-Calthorpe
52,David Blitzer
53,Josh Hix
54,Ginobili
55,Getty Images
56,Zubeidat Tsarnaeva
57,David Hornik
58,Doug Parker
59,Aswath Damodaran
60,Jim YoungIn
61,Anthony Simon
62,Andy McLevey
63,Tim Dobbyn
64,Mike Carter-USA TODAY
65,Jordan Kelley
66,Stephen J. RoseResearch
67,Tim Boyle/
69,Charles Plosser
70,Paschi
71,Ken Hannah
72,Jonathan Ernst Bloomberg
73,Rick Alden
74,Brendan McDermidJeffrey GundlachDoubleLine
75,Jon Fisher
76,Henry Kravis
77,Jeff Bezos'
78,Tracy Britt
79,Johannes Hellstrom
80,John Murawski
81,Matthew Smith
82,Yellens
83,Weisel
84,Tim Davis
87,Greg Foster
88,The Duck Dynasty
89,Monica Lewinsky
90,Mickey Drexler
91,Wayne Tilcock
92,Anthony Grisanti
93,McKesson
94,Camilla Sullivan
95,Carmen Reinhard
96,"Mike Nudelman / Business Insider
The St. Louis Fed's"
97,Vora
98,Gross
99,Lawrence O'Donnell
100,Lynch
101,Ed Henry
102,Mark Mobius
103,Karl Lagerfeld
104,Howard Hobson
106,Kevin Yao
107,Mr Zuckerberg
108,Mark Perry/AEI
109,Dylan Grice
110,Trump
111,Cristina Fernandez
112,Goldman
113,Halftime
114,Mike StobeNow
115,Alyssa Mastromonaco
116,QT
117,Olivia Oran
118,Stephen Lam Mark Zuckerberg
119,Marcus Agius
120,Mike Campbell
121,Tom Horton
122,Jeff Bezos
123,Jim YoungEarlier
