,percentages
0,+126.4%
1,a full 89 percent
2,eighty percent
3,only 17 percent
4,2.0-2.3%
5,4.46 percent
6,2030 to 76 percent
7,~20%
8,over 100 percent
9,only 110%
10,8.6 %
11,2.083%
12,nearly 20 percent
13,just 9.8%
14,12.5% to 10%
15,below 1.5 percent
16,3.45%
17,4%-6%
18,between 20% and 25%
19,Some 65 percent
20,only 0.8 percent
21,more than 40%
22,7.4% to 7.3%
23,a negative 1.5%
24,the 4.5 percent
25,around 7.5%
26,Only 46%
27,nearly 65 percent
28,around 0.25%
29,about 2.32%
30,182%
31,1.20%
32,as much 80 percent
33,the 0.4%
34,at least 50 percent
35,6.99 percent
36,14 to 15 percent
37,5 percent
38,2.10-2.11%
39,55.5 percent
40,only 4.5%
41,the 10% and 15%
42,17.9 percent
43,17.0 percent
44,the 5.2%
45,21.64%
46,Nearly 75 percent
47,-1.20%
48,almost 0.85%
49,12.3%
50,12.0 percent
51,64%
52,minus 1.3%
53,up to 1.5% to 1.6%
54,7.11 percent
55,Slightly over 63 percent
56,close to 6.5 percent
57,18%20%
58,7.78 percent
59,270 percent
60,10 to 13%
61,nearly -14 percent
62,less than
63,slightly more than 3%
64,between 0.1 percent and 0.2 percent
65,no more than a 10%-20%
66,just 2 percent
67,almost 14%
68,just 0.09%
69,around 33%
70,330%
71,greater than 30%
72,less 1%
73,more than 44%
74,-0.33%
75,62.0%
76,10.5%-11%
77,10.82%
78,as much as 12.9%
79,just 6.3 percent
80,39.3%
81,56.5%
82,another 6 percent
83,38.8 percent
84,just 2.8%
85,the 7.7 percent
86,20% - 40%
87,as much as 8.8 percent
88,over 12.5%
89,579 percent
90,81.2%
91,35 percent
92,Fifty-nine percent
93,at least 2.6 percent
94,just less than 0.6%
95,2.5% to 3%
96,260%
97,4.5-5 percent
98,nearly 240 percent
99,358%
100,only about 1%
101,between 0.0% and 1%
102,2.652%
103,1.5% to 2.5%
104,1.8% to 2.4%
105,Just 2%
106,1.27 percent
107,an almost 80 percent
108,nearly 6.5%
109,6.6%
110,approximately 65%
111,2.69%
112,2.02 percent
113,nearly 24%
114,just 1.2%
115,10.7% to 14.2%
116,poll73%
117,just more than 3 percent
118,Some 50 percent
119,-23.3%
120,only 1.3%
121,about 3.7%
122,220 percent
123,About 40%
124,0.63 percent
125,4.12%
126,about 250 percent
127,12.46%
128,+44.0%
129,4.05%
130,7.3% to 7.2%
131,37.6%
132,5% or 6%
